<bias> 0.15523832 -0.16799632 0.9283921 0.8685723 -1.1645278 1.0396707 -0.09737264 1.171978 3.2144532 -0.44693625 0.9918949 1.0891016 -0.2942625 0.6938031 -1.6343414 -1.6126567
<unk> -1.7289304 0.6780005 0.0195424 -0.7805113 -1.3484017 -0.005646215 0.04114076 0.14866614 0.23263235 -1.2778746 0.0099105565 1.0063348 0.58396304 -1.8127208 -0.16652247 0.6076095
<s> 0.15159576 0.41813764 -0.9453396 0.88510686 0.16062611 0.849186 0.12896629 0.24154128 -0.46494904 0.96144617 1.7921684 1.2190697 -0.6222701 -1.3185232 2.1748395 -1.9759241
</s> -0.34432063 0.43230075 0.38618818 -1.2232224 -2.6787467 0.1709534 1.3938698 -0.38733962 0.77399606 -2.326686 1.9889029 0.23782188 -1.024254 -1.2152314 -0.46427485 -1.1240884
the -0.09305835 -1.0306212 -0.48255992 0.57759196 -0.65186584 0.594007 0.90004176 0.3138553 -0.121642515 0.52649945 -0.08872502 1.6970754 -0.015389267 -0.33497125 -0.82308024 -2.0957716
of -1.5855006 0.9490353 0.733552 0.60190564 -1.467786 1.5093262 0.012778934 -1.6922677 0.031787433 -0.28509614 -1.7288353 0.32979202 -0.37414625 -1.166831 -0.4759008 -1.0888423
, 0.015048178 2.009986 0.1598014 -0.62832355 -1.0577192 -0.87670535 0.9762811 -0.6972578 1.6622314 0.45557773 1.5551387 0.5121753 -0.23141153 0.28800246 0.6103722 -1.2731655
it 1.6759958 0.15266518 0.49264607 0.058840267 -0.9706947 0.7810392 -1.078755 0.7814031 -0.1406228 -0.6872882 -0.061454214 0.30136397 1.3350255 0.57123405 2.1393404 0.094411984
game 0.68812263 -1.2124935 -1.6849475 -0.03774592 -1.4721702 -0.73043954 -0.8775417 0.6860542 -0.27611193 0.8520176 1.9321363 -1.8561921 0.5753079 -0.6544223 -0.67667216 1.6719791
in 0.20266517 1.0052494 1.7744478 -1.3552681 0.0017652088 1.4746273 -1.159143 -0.11551106 0.37277317 0.7491955 0.60495496 -0.41230786 0.7949618 -0.5389435 0.8738813 -0.26678735
. -0.7217832 -0.612698 0.31486067 -3.0630867 1.3028405 -0.05868705 0.28353038 -0.99719435 0.60438734 0.29204008 -0.8346975 -0.04813733 0.8873925 0.26833147 -0.85665655 0.93433356
and 2.7890995 -1.1849892 -0.08570246 -0.6309218 0.027435279 0.86322707 0.4365159 -0.013160558 0.57333773 0.57052964 -0.7377285 0.3831246 -0.038474 0.04721027 0.53192294 0.914302
is 0.31990886 1.1884545 -0.554824 -1.6358631 -0.874822 -0.7926915 -0.42453727 2.014329 -0.30872238 0.50421774 0.15312655 0.76764405 -1.9128742 1.9863335 -0.055516224 0.7996368
